X1,Y1,X2,Y2,Ca
0,0,0,0,0
1,0,1,1,1
0,1,0,0,0
1,1,1,1,1
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,1,0,1
1,1,0,0,1
0,1,1,1,1
1,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,1
0,0,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
1,0,1,1,1
1,1,1,1,1
0,1,1,1,1
1,1,1,0,1
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,0,1,0
1,0,1,1,1
0,0,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,0,0,0
1,0,1,0,1
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,1,0,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,1
1,1,0,0,0
1,1,1,0,1
1,1,0,0,0
0,0,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
1,0,1,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,1,0,1
0,0,0,1,0
1,1,1,1,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
1,1,1,0,1
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
1,1,0,1,0
0,0,1,1,0
1,1,1,0,1
0,0,1,1,0
1,1,0,1,0
1,1,0,1,1
0,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,1,1,1
0,0,0,1,0
0,0,0,0,0
0,1,1,1,0
1,1,1,0,1
1,1,1,1,1
0,1,1,1,0
0,0,0,1,0
0,0,0,0,0
1,1,0,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,1,1,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,1,1
1,1,0,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,1,0
1,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,0,0,0
1,0,1,0,1
0,1,0,1,0
0,1,0,0,0
1,1,0,1,0
1,1,0,0,0
1,1,1,1,1
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,0,0,0
1,1,0,0,1
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,0,1,1,0
0,0,0,0,0
0,1,0,0,0
1,0,0,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,1,0
0,0,0,1,0
1,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,1,0
0,0,1,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,1,0
0,0,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
1,1,1,0,1
0,1,0,0,0
0,0,0,0,0
0,0,1,1,0
0,0,0,0,0
1,1,1,0,1
0,1,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,1
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,1,1,0
1,1,1,1,1
0,0,1,1,0
1,1,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
1,1,1,0,1
1,0,0,0,0
1,1,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
0,0,1,0,0
1,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
1,1,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,1,1,0
1,1,0,1,0
0,0,0,0,0
0,0,0,1,0
1,0,0,1,0
0,1,1,1,1
0,0,1,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,1,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,1,1,0
0,1,0,0,0
1,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
0,0,0,1,0
0,0,0,1,0
1,1,1,1,1
1,1,1,1,1
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,1,0
1,1,1,1,1
1,1,1,0,0
0,0,1,1,0
1,0,0,0,0
0,0,0,0,0
1,0,1,1,1
1,0,1,0,1
0,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
1,1,1,1,1
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
1,1,1,1,1
0,0,0,1,0
0,0,1,0,0
1,1,1,1,1
0,1,1,1,1
1,1,1,1,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
1,0,1,0,1
1,0,1,1,1
0,1,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
1,0,1,1,1
0,0,0,0,0
1,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,1,0
0,0,1,1,0
0,1,0,0,0
0,1,0,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
1,1,1,0,1
1,0,1,0,1
1,1,1,0,1
1,0,1,1,1
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,1,1,0
1,0,1,0,1
0,0,1,1,0
1,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,1,1
0,1,0,1,0
1,1,0,0,1
0,1,0,1,0
0,0,0,0,0
0,0,1,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,1
0,0,0,1,0
1,1,1,1,1
0,1,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
1,0,0,1,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,1,1,1
0,0,0,0,0
0,1,0,0,0
1,0,1,1,1
0,1,0,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,1,0,1
0,0,1,1,1
0,0,0,0,0
1,0,1,1,1
0,1,0,1,0
1,0,0,0,0
0,1,0,0,0
1,1,1,1,1
0,1,0,1,0
0,1,0,0,0
1,1,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,1,0,1,1
0,1,0,1,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,1,1,1
0,0,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,1,0,0
0,0,0,1,0
0,0,0,0,0
1,0,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,1,1,0
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,0,1
1,0,0,0,0
0,0,0,1,0
1,0,0,0,0
1,1,1,1,0
0,1,0,0,0
1,0,1,1,1
0,1,0,0,0
0,0,1,1,0
0,0,0,0,0
0,1,0,0,0
0,0,1,1,0
0,1,0,0,0
1,1,1,1,1
1,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,1
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
1,1,0,0,0
1,1,1,0,1
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,1,0
0,0,0,1,0
1,0,1,0,1
0,1,0,1,0
1,1,1,1,1
0,0,0,0,0
0,1,0,1,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,1,0
1,0,1,1,1
1,1,0,1,1
0,1,0,0,0
1,1,0,1,0
1,1,1,1,1
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,1,0
1,1,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,1,0
0,0,0,0,0
1,1,1,0,1
1,0,0,0,0
1,0,1,1,1
1,1,1,0,1
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,1,0,0
0,1,0,0,0
1,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,1,0
1,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
1,0,1,1,0
1,1,1,1,1
0,0,0,0,0
1,0,1,0,1
1,0,1,1,1
1,0,1,1,1
0,0,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
1,1,0,0,1
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,0,1,0
1,1,1,1,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,1,1
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,1,1,1
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
0,0,1,1,0
0,0,0,1,0
0,0,1,1,0
0,0,1,1,1
0,0,0,1,0
1,0,0,1,1
0,0,0,0,0
0,0,0,1,0
1,1,1,1,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
1,0,1,1,1
0,0,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,0,1,0
0,1,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,1,0,0
0,1,0,0,0
1,1,1,0,1
1,1,0,0,1
1,1,1,1,1
0,1,0,0,0
1,1,1,0,1
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,1
0,0,1,1,0
0,0,0,1,0
1,0,1,0,1
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,1,1,1
0,1,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,0,0
1,1,0,0,0
1,1,0,0,1
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,1
0,0,0,1,0
1,1,1,1,1
0,0,1,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,0,1
0,0,0,0,0
0,1,0,1,0
1,1,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
1,1,1,0,1
1,0,1,1,1
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
1,1,1,0,1
0,0,1,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
1,1,1,0,1
1,1,1,1,1
0,0,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,1,1,0
1,1,1,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
1,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
1,0,1,0,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,1,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
0,1,0,0,0
1,1,1,1,1
1,0,1,1,1
0,0,0,0,0
1,0,1,1,1
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
1,1,1,1,1
1,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
1,0,0,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
1,0,1,1,1
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
1,0,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,1,1
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,0,1
1,1,0,0,0
0,0,1,1,0
1,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,1
1,1,1,0,1
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
1,0,1,0,1
0,1,0,0,0
1,0,1,1,1
0,0,0,0,0
0,1,1,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,1,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,1,0
0,0,1,0,0
1,0,1,0,1
1,0,0,1,0
0,1,0,0,0
1,1,1,1,1
0,1,0,1,0
0,1,0,1,0
0,1,1,0,1
0,1,0,0,0
0,1,0,0,0
1,1,1,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,0
1,1,1,0,1
0,0,0,1,0
0,0,0,0,0
0,1,1,0,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,0,1
1,0,1,0,1
1,1,1,1,1
1,0,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
1,0,1,1,1
0,0,0,0,0
1,1,0,0,0
1,0,0,1,0
0,0,1,0,0
0,0,1,1,1
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
1,0,1,1,1
0,0,0,0,0
1,1,1,0,1
0,0,0,0,0
1,0,0,0,0
1,1,1,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
1,1,0,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
1,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
1,0,0,0,0
0,1,0,0,0
1,0,1,1,1
0,1,1,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,1,1,0
1,1,1,1,1
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,1,0
1,1,1,1,1
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,1,1,1
1,1,1,0,1
1,1,1,1,1
0,0,0,1,0
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,1
0,0,0,1,0
0,0,1,1,0
1,1,1,0,1
0,1,0,0,1
0,1,0,1,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
1,1,0,0,0
1,0,0,1,0
0,1,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
1,1,0,0,1
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,1
0,1,0,0,0
1,1,0,0,0
1,1,1,1,1
1,1,1,0,1
0,0,0,1,0
0,1,0,1,0
0,0,0,1,0
1,1,0,1,0
0,0,0,1,0
0,0,0,1,0
1,1,1,1,1
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
1,0,1,1,1
0,0,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,1,1,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
1,0,1,0,1
0,1,0,0,0
1,1,1,0,1
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
1,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,1,1,1,0
0,0,0,0,0
1,0,1,1,1
1,1,0,1,0
0,0,0,1,0
0,1,1,1,0
0,0,0,1,0
0,0,0,0,0
1,1,1,1,1
0,0,0,1,0
0,1,0,0,0
0,0,1,1,0
1,1,1,1,1
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,1,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
1,1,1,1,1
0,1,0,1,0
0,0,0,0,0
1,0,1,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
1,1,1,1,1
1,1,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,1,0
0,1,0,1,0
0,1,1,1,0
0,0,1,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
1,0,0,1,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,1,1,1
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,1,0
1,1,1,1,1
1,0,1,0,1
1,0,1,1,1
0,1,0,0,0
0,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,0,1,1,1
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,1,0
1,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,1,1,0
0,1,0,0,0
0,0,1,1,0
0,1,0,0,0
1,0,1,0,1
0,0,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,1
0,0,0,0,0
0,1,0,1,0
1,1,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,1
1,1,0,1,0
1,1,1,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,1,1
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
1,1,0,1,0
0,0,0,1,0
0,1,1,1,0
0,0,0,0,0
1,0,1,1,1
0,1,0,0,0
0,1,0,1,0
1,1,0,0,0
0,1,0,1,0
0,0,0,1,0
1,0,1,0,1
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
1,1,0,1,0
1,1,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,0,1
0,0,0,1,0
0,0,0,0,0
0,1,0,1,0
1,1,1,1,1
1,1,1,1,1
1,0,1,0,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,1,1,0,1
0,0,0,1,0
0,0,1,1,0
0,0,0,1,0
0,0,0,1,0
1,0,1,1,1
0,0,0,0,0
1,1,1,0,1
1,1,0,0,0
1,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
1,0,1,1,1
1,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,0,1,0,1
1,1,1,1,1
1,1,0,0,0
0,1,0,1,0
0,0,0,1,0
